meantemp,humidity,wind_speed,meanpressure,date_year,date_month,date_dayofweek,date_dayofyear
10.0,84.5,0.0,1015.6666666666666,2013.0,1.0,1.0,1.0
7.4,92.0,2.98,1017.8,2013.0,1.0,2.0,2.0
7.166666666666667,87.0,4.633333333333334,1018.6666666666666,2013.0,1.0,3.0,3.0
8.666666666666666,71.33333333333333,1.2333333333333334,1017.1666666666666,2013.0,1.0,4.0,4.0
6.0,86.83333333333333,3.7,1016.5,2013.0,1.0,5.0,5.0
7.0,82.8,1.48,1018.0,2013.0,1.0,6.0,6.0
7.0,78.6,6.3,1020.0,2013.0,1.0,0.0,7.0
8.857142857142858,63.71428571428572,7.142857142857143,1018.7142857142856,2013.0,1.0,1.0,8.0
14.0,51.25,12.5,1017.0,2013.0,1.0,2.0,9.0
11.0,62.0,7.399999999999999,1015.6666666666666,2013.0,1.0,3.0,10.0
15.714285714285714,51.285714285714285,10.571428571428571,1016.1428571428572,2013.0,1.0,4.0,11.0
14.0,74.0,13.228571428571428,1015.5714285714286,2013.0,1.0,5.0,12.0
15.833333333333334,75.16666666666667,4.633333333333334,1013.3333333333334,2013.0,1.0,6.0,13.0
12.833333333333334,88.16666666666667,0.6166666666666667,1015.1666666666666,2013.0,1.0,0.0,14.0
14.714285714285714,71.85714285714286,0.5285714285714286,1015.8571428571428,2013.0,1.0,1.0,15.0
13.833333333333334,86.66666666666667,0.0,1016.6666666666666,2013.0,1.0,2.0,16.0
16.5,80.83333333333333,5.250000000000001,1015.8333333333334,2013.0,1.0,3.0,17.0
13.833333333333334,92.16666666666669,8.950000000000001,1014.5,2013.0,1.0,4.0,18.0
12.5,76.66666666666667,5.883333333333333,1021.6666666666666,2013.0,1.0,5.0,19.0
11.285714285714286,75.28571428571429,8.471428571428572,1020.2857142857144,2013.0,1.0,6.0,20.0
11.2,77.0,2.22,1021.0,2013.0,1.0,0.0,21.0
9.5,79.66666666666667,3.083333333333333,1021.8,2013.0,1.0,1.0,22.0
14.0,60.16666666666666,4.016666666666667,1020.5,2013.0,1.0,2.0,23.0
13.833333333333334,60.66666666666666,6.166666666666667,1020.5,2013.0,1.0,3.0,24.0
12.25,67.0,5.55,1020.75,2013.0,1.0,4.0,25.0
12.666666666666666,64.16666666666667,6.800000000000001,1019.6666666666666,2013.0,1.0,5.0,26.0
12.857142857142858,65.57142857142857,5.557142857142857,1018.1428571428572,2013.0,1.0,6.0,27.0
14.833333333333334,56.0,3.7,1017.8333333333334,2013.0,1.0,0.0,28.0
14.125,65.5,3.2375,1016.625,2013.0,1.0,1.0,29.0
14.714285714285714,70.42857142857143,1.0571428571428572,1017.8571428571428,2013.0,1.0,2.0,30.0
16.2,65.6,2.96,1018.4,2013.0,1.0,3.0,31.0
16.0,73.0,2.22,1016.0,2013.0,2.0,4.0,32.0
16.285714285714285,77.57142857142857,1.3285714285714287,1017.1428571428572,2013.0,2.0,5.0,33.0
18.0,65.57142857142857,1.8571428571428568,1015.2857142857144,2013.0,2.0,6.0,34.0
17.428571428571427,74.28571428571429,11.114285714285714,1014.5714285714286,2013.0,2.0,0.0,35.0
16.625,92.375,9.725,1016.375,2013.0,2.0,1.0,36.0
16.666666666666668,71.33333333333333,8.633333333333333,1018.6666666666666,2013.0,2.0,2.0,37.0
15.6,59.4,10.74,1018.6,2013.0,2.0,3.0,38.0
14.0,70.42857142857143,9.257142857142856,1017.1428571428572,2013.0,2.0,4.0,39.0
15.428571428571429,61.285714285714285,9.257142857142856,1016.8571428571428,2013.0,2.0,5.0,40.0
15.25,71.5,3.475,1017.125,2013.0,2.0,6.0,41.0
15.875,70.5,5.325,1016.5,2013.0,2.0,0.0,42.0
